ID,Name,Sponsor,Event,Venue,Place,PhysicalDescription,Occasion,Notes,CallNumber,Keywords,Language,Date,Location,LocationType,Currency,CurrencySymbol,Status,PageCount,DishCount
12473,NO NAME,HOTEL MARLBOROUGH,CAFE LUNCHEON,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; COL; 4.25X5.5;,---------,HOTEL CREST IN BLUE;,1900-2843,Empty,Empty,1900-04-17,HOTEL MARLBOROUGH,Empty,UNKNOWN,&&&,COMPLETE,2,19
12474,NO NAME,ALPHA OF ZETA PSI,ANNUAL BANQUET,COMMERCIAL,"DELMONICO'S, NEW YORK, NY",BOOKLET; ILLUS; COL; 5.5X7.0;,---------,"VELLUM COVER; CREST OF ZETA PSI; TIED WITH BLUE SATIN RIBBON; PRICED WINE LIST; ALPHA CHAPTER OFFICERS; BANQUET COMMITTEE; TOASTS; LYRICS TO ""ZETA PSI, WE PLEDGE TO-NIGHT"" , A POEM, ""THE BADGE OF ZETA PSI""; LYRICS OF ""NEATH THE ARCH OFZETA'S TEMPLE"", AND",1900-2844,Empty,Empty,1900-04-17,ALPHA OF ZETA PSI,Empty,DOLLARS,$,COMPLETE,12,38
12475,NO NAME,HOTEL MANHATTAN,DINNER,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; 6X9.5;,---------,A LA CARTE DU JOUR; HOTEL SEAL AT TOP OF MENU;,1900-2847,Empty,Empty,1900-04-18,HOTEL MANHATTAN,Empty,DOLLARS,$,COMPLETE,2,176
12476,NO NAME,PACIFIC MAIL STEAMSHIP COMPANY,DINNE,COMMERCIAL,SS CITY OF PARA,FOLDER; ILLUS; 6X9.25;,---------,DECORATIVE BORDER;,1900-2849,Empty,Empty,1900-04-18,PACIFIC MAIL STEAMSHIP COMPANY,Empty,UNKNOWN,&&&,COMPLETE,4,21
12477,NO NAME,OCCIDENTAL & ORIENTAL,BREAKFAST,COMMERCIAL,SS DORIC,BROADSIDE; ILLUS; 5.5X8.5;,---------,HANDWRITTEN; STEAMSHIP COMPANY FLAG AT TOP OF MENU;,1900-2851,Empty,Empty,1900-04-18,OCCIDENTAL & ORIENTAL,Empty,UNKNOWN,&&&,COMPLETE,2,24
12478,NO NAME,NO SPONSOR,NO EVENT,NO VENUE,NO PLACE,,---------,None,,Empty,Empty,1900-04-18,OCCIDENTAL & ORIENTAL,Empty,UNKNOWN,&&&,COMPLETE,2,24
12479,NO NAME,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS DORIC,FOLDER; ILLUS; 5.5X8.5;,---------,HANDWRITTEN; MARITIME INSIGNIA ON COVER;,1900-2852,Empty,Empty,1900-04-18,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,Empty,UNKNOWN,&&&,COMPLETE,4,44
12480,NO NAME,CANADIAN PACIFIC RAILWAY COMPANY,BREAKFAST,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",CARD; ILLUS; COL; 4.5X7;,---------,MENU ITEMS NUMBERED; COMPANY FLAG AT TOP OF MENU;,1900-2854,Empty,Empty,1900-04-18,CANADIAN PACIFIC RAILWAY COMPANY,Empty,UNKNOWN,&&&,COMPLETE,2,37
12481,NO NAME,CANADIAN PACIFIC RAILWAY COMPANY,LUNCHEON,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",CARD; ILLUS; COL; 4.5X7;,---------,MENU ITEMS NUMBERED; COMPANY FLAG AT TOP OF MENU;,1900-2855,Empty,Empty,1900-04-18,CANADIAN PACIFIC RAILWAY COMPANY,Empty,UNKNOWN,&&&,COMPLETE,2,42
12482,NO NAME,NOVIOMAGUS,DINNER,NO VENUE,"FREEMASONS' TAVERN, LONDON, ENGLAND",CARD; 4.25X6.25;,---------,FRENCH; [LOCATION INFO HANDWRITTEN ON BACK OF MENU];,1900-2856,Empty,Empty,1900-04-18,NOVIOMAGUS,Empty,UNKNOWN,&&&,COMPLETE,2,16
12483,NO NAME,HOTEL MANHATTAN,CARTE DU JOUR,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; 6X9.5;,---------,A LA CARTE MENU; HOTEL SEAL AT TOP OF MENU;,1900-2859,Empty,Empty,1900-04-18,HOTEL MANHATTAN,Empty,DOLLARS,$,COMPLETE,2,129
12484,NO NAME,BOSTON BOOT & SHOE CLUB,ANNUAL MEETING,COMMERCIAL,"BRUNSWICK HOTEL, BOSTON, MA",FOLDER; ILLUS; COL; 4.5X6.5;,---------,PROGRAM & COMMITTEE LISTED; DECORATIVE WREATH & EMBLEMS; SILK RIBBON ATTACHMENT;,1900-2861,Empty,Empty,1900-04-18,BOSTON BOOT & SHOE CLUB,Empty,UNKNOWN,&&&,COMPLETE,6,24
12485,NO NAME,CANADIAN PACIFIC RAILWAY,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,CARD; 4.5 X 7;,---------,ITEMS ON MENU ARE NUMBERED; FLAG LOGO;,1900-2869,Empty,Empty,1900-04-19,CANADIAN PACIFIC RAILWAY,Empty,UNKNOWN,&&&,COMPLETE,2,36
12486,NO NAME,HOTEL SAVOY,DINNER,COMMERCIAL,NEW YORK,CARD; ILLUS; COL; 3.25 X 8.5;,---------,FRENCH; ILLUSTRATION OF MAN AND WOMAN IN COLONIAL DRESS;,1900-2872,Empty,Empty,1900-04-19,HOTEL SAVOY,Empty,UNKNOWN,&&&,COMPLETE,2,15
12487,NO NAME,PACIFIC MAIL STEAMSHIP CO.,LUNCH,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,FOLDER; 6 X 9;,---------,MENU TYPED IN ENGLISH; ORNAMENTAL BORDER;,1900-2875,Empty,Empty,1900-04-19,PACIFIC MAIL STEAMSHIP CO.,Empty,UNKNOWN,&&&,COMPLETE,2,13
12488,NO NAME,CHI PSI FRATERNITY,BANQUET OF THE FIFTY NINTH ANNUAL CONVENTION,SOC,"HOLLAND HOUSE, NEW YORK CITY",BOOKLET; ILLUS; 5 X 7.25;,ANNIVERSARY,FRENCH; EMBOSSED FRATERNITY LETTERS IN GOLD AND BLUE; GOLD AND BLUE RIBBONS; TOASTS;,1900-2876,Empty,Empty,1900-04-20,CHI PSI FRATERNITY,Empty,UNKNOWN,&&&,COMPLETE,4,19
12489,NO NAME,COLBY ALUMNI ASSOCIATION OF NEW YORK,FIFTH ANNUAL REUNION,SOC,ST. DENIS HOTEL NEW YORK,FOLDER; ILLUS; 4 X 5.5;,ANNIVERSARY,PHOOGRAPH OF ALUMNI CHEMICAL LABORATORY ON COVER; LOGO OF ALUMNI ASSOCIATION ON BACK COVER;,1900-2877,Empty,Empty,1900-04-20,COLBY ALUMNI ASSOCIATION OF NEW YORK,Empty,UNKNOWN,&&&,COMPLETE,4,21
12490,NO NAME,HOTEL IMPERIAL,DINNER,COMMERCIAL,"VIENNA, AUSTRIA",CARD; ILLUS; COL; 4.5 X 8;,---------,GERMAN; WINES; ILLUSTRATION OF WOMAN'S HEAD; FLORAL BORDER;,1900-2882,Empty,Empty,1900-04-20,HOTEL IMPERIAL,Empty,UNKNOWN,&&&,COMPLETE,2,16
12491,NO NAME,WHITEFRIARS CLUB,SHAKEPEARE COMMEMORATION,SOC,"ANDERTON'S HOTEL, FLEET STREET, E.C. ENGLAND",CARD; ILLUS; 4.5 X 6.25;,ANNIVERSARY,FRENCH; ILLUSTRATION OF FRIAR WITH MUSES; ORNAMENTAL BORDER;,1900-2889,Empty,Empty,1900-04-20,WHITEFRIARS CLUB,Empty,UNKNOWN,&&&,COMPLETE,2,13
12492,NO NAME,WILSON COLLEGE ALUMNAE ASSOCIATION,DINNER,EDUC,HOEL FLANDERS,"BOOKLET, ILLUS; COL; 5 X 6.25;",ANNIVERSARY,"PORTRAIT OF HEAD OF COLONIAL WOMAN; SPEECHES; PALE BLUE, WHITE RIBBONS;",1900-2890,Empty,Empty,1900-04-20,WILSON COLLEGE ALUMNAE ASSOCIATION,Empty,UNKNOWN,&&&,COMPLETE,10,14
12493,NO NAME,CANADIAN PACIFIC RAILWAY,LUNCH,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,CARD; 4.5 X 7;,---------,ITEMS ON MENU ARE NUMBERED; FLAG LOGO;,1900-2891,Empty,Empty,1900-04-20,CANADIAN PACIFIC RAILWAY,Empty,UNKNOWN,&&&,COMPLETE,2,39
12494,NO NAME,KNIGHTS OF REVELRY,26TH ANNIVERSARY BANQUET,SOC,"GERMAN RELIEF HALL, MOBILE AL",BOOKLET; ILLUS; 4.5 X 6.5;,ANNIVERSARY,WINES; OYSTER AND FORK ON COVER; THEATRICAL MAKS ON INSIDE PAGE;,1900-2892,Empty,Empty,1900-04-21,KNIGHTS OF REVELRY,Empty,UNKNOWN,&&&,COMPLETE,8,22
12495,NO NAME,VETERANS AMERICAN GUARD,TWENTY-NINTH ANNUAL DINNER,MIL,ST. DENNIS HOTEL,BOOKLET; ILLUS; 4 X 5.5;,ANNIVERSARY,EMBOSSED LOGO ON COVER; SPEECHES;,1900-2893,Empty,Empty,1900-04-20,VETERANS AMERICAN GUARD,Empty,UNKNOWN,&&&,COMPLETE,8,20
12497,NO NAME,CUNARD LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,CARD; 4.25 X 6.5;,---------,CUNARD LINE LOGO; PRICED WINE LIST ON BACK WITH PRICES IN BRITISH CURRENCY;,1900-2902,Empty,Empty,1900-04-21,CANADIAN PACIFIC RAILWAY COMPANY,Empty,UNKNOWN,&&&,COMPLETE,2,38
12498,NO NAME,CAFE BOULEVARD,SUNDAY DINNER,COMMERCIAL,156 SECOND AVENUE NY,CARD; COL; ILLUS; 5 X 7;,---------,PRIX FIXE DINNER; FOOD APPEARS TO BE HUNGARIAN;PALE BLUE; ORNAMENTAL BORDER;,1900-2903,Empty,Empty,1900-04-22,CAFE BOULEVARD,Empty,CENTS,c,COMPLETE,2,17
12499,NO NAME,PACIFIC MAIL STEAMSHIP CO.,LUNCH,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,BROADSIDE; 6 X 9;,---------,ORNAMENTAL BORDER;,1900-2909,Empty,Empty,1900-04-22,PACIFIC MAIL STEAMSHIP CO.,Empty,UNKNOWN,&&&,COMPLETE,2,14
12500,NO NAME,MORNING NEWSPAPER BOWLING LEAGUE,SECOND ANNUAL DINNER,SOC,MOUQUIN'S,CARD;COL;4X6.5;,ANNIVERSARY,None,1900-2911,Empty,Empty,1900-04-22,MORNING NEWSPAPER BOWLING LEAGUE,Empty,UNKNOWN,&&&,COMPLETE,2,23
12501,NO NAME,CUNARD LINE,BREAKFAST,COMMERCIAL,"R.M.S. ""LUCANIA""",CARD;ILL;COL;4.25X6.5;,DAILY,WINE LIST ON BACK;FLAG;,1900-2917,Empty,Empty,1900-04-23,CUNARD LINE,Empty,UNKNOWN,&&&,COMPLETE,2,97
12502,NO NAME,CUNARD LINE,LUNCHEON,COMMERCIAL,"R.M.S. ""LUCANIA""",CARD;ILL;COL;4.25X6.5;,DAILY,WINE LIST ON BACK;FLAG;,1900-2918,Empty,Empty,1900-04-23,CUNARD LINE,Empty,UNKNOWN,&&&,COMPLETE,2,90
12503,NO NAME,POLICE DEPARTMENT OF THE CITY OF NEW YORK,SEVENTH ANNUAL DINNER,GOVT,DELMONICO'S,FOL; 4.75 x 7.25;,---------,"SEAL ON COVER; FRENCH; INCLUDES WINES SERVED WITH EACH COURSE; LIST OF NAMES OF SUPERINTENDENT, INSPECTORS AND PRECINCT CAPTAINS",1888-0010,Empty,Empty,1888-01-23,POLICE DEPARTMENT OF THE CITY OF NEW YORK,Empty,UNKNOWN,&&&,COMPLETE,3,30
12504,NO NAME,U.S.M.S. NEW YORK,LUNCHEON,COMMERCIAL,EN ROUTE,CARD; 4 X 6.25;,---------,FLAG; PRICED WINE LIST AND EXCHANGE RATES ON BACK;,1900-1131,Empty,Empty,1900-02-18,U.S.M.S. NEW YORK,Empty,DOLLARS,$,COMPLETE,2,99
12505,NO NAME,BARTHOLDI HOTEL,BREAKFAST,COMMERCIAL,NY,BROADSIDE; COL; 7 X 11.75;,DAILY,VERY POOR CONDITION;,1900-1137,Empty,Empty,1900-02-18,BARTHOLDI HOTEL,Empty,DOLLARS,$,COMPLETE,2,203
12506,NO NAME,BARTHOLDI HOTEL,LUNCH DINNER,COMMERCIAL,23RD ST & BWAY NY,FOLDER; ILLUS;8.25 X 14;,DAILY,MANY ITEMS HANDWRITTEN; HOURS INCLUDED;,1900-1138,Empty,Empty,1900-02-18,BARTHOLDI HOTEL,Empty,DOLLARS,$,COMPLETE,4,336
12507,NO NAME,HAAN'S,SUPPER,COMMERCIAL,75 ST. & COLUMBUS AVE. NY,BROADSHEET; COL; 7 X 11;,DAILY,COMPLETE WINE LIST ON BACK;,1900-1140,Empty,Empty,1900-02-19,HAAN'S,Empty,DOLLARS,$,COMPLETE,2,392
12508,NO NAME,HOTEL MARIE ANTOINETTE,LUNCHEON,COMMERCIAL,66 ST. & B'WAY NY,BROADSIDE; HOTEL EMBLEM; 4.5 X 7.5;,DAILY,None,1900-1141,Empty,Empty,1900-02-19,HOTEL MARIE ANTOINETTE,Empty,DOLLARS,$,COMPLETE,2,82
12509,NO NAME,RED STAR LINE - S.S. SOUTHWARK,DINNER,COMMERCIAL,EN ROUTE,BROADSHEET; ILLUS; COL; 5 X 8;,DAILY,MENU HANDWRITTEN;WINE LIST ON BACK;,1900-1169,Empty,Empty,1900-02-20,RED STAR LINE S.S. SOUTHWARK,Empty,FRANCS,FF,COMPLETE,2,56
12510,NO NAME,HOTEL MARIE ANTOINETTE,DINNER,COMMERCIAL,66 ST. & B'WAY NY,BROADSIDE; HOTEL EMBLEM; COL; 6.5 X 9;,DAILY,None,1900-1173,Empty,Empty,1900-02-20,HOTEL MARIE ANTOINETTE,Empty,DOLLARS,$,COMPLETE,2,128
12511,NO NAME,THIRD PANEL SHERIFF'S JURY NEW YORK COUNTY,ANNUAL DINNER,POL,"HOTEL SAVOY,NEW YORK,NY",BOOKLET;ILL;COL;4.25X6.25;,ANNIVERSARY,WINES SERVED;INDIVIDUAL'S NAME ON FRONT COVER;FOUR STANZAS OF THE STAR SPANGLED BANNER WRITTEN OUT;NAMES;SEATING PLAN ATTACHED;,1900-1174,Empty,Empty,1900-02-20,THIRD PANEL SHERIFF'S JURY NEW YORK COUNTY,Empty,UNKNOWN,&&&,COMPLETE,12,35
12515,NO NAME,THE ALBANY,LUNCH,,"DENVER, COLO.",CARD;3.5 X 5;,---------,None,1888-0611,Empty,Empty,1888-10-15,THE ALBANY,Empty,UNKNOWN,&&&,COMPLETE,2,30
12516,NO NAME,REVERE HOUSE,COMPLIMENTARY BANQUET GIVEN BY THE CITY GOVERNMENT OF BOSTON TO THE BOARDS OF TRADE OF THE WESTERN CITIES,RESTAURANT,"BOSTON, MA",BROADSIDE; ILLUS; 4.25 X 11.75,---------,MENU PRINTED IN BLACK ON CREAM SILK RIBBON WITH OVERSEWN SIDES; UNPRICED; ILLUSTRATION OF CITY AND COMMERCE SCENES; OUT OF PLACE MENU,1865-0001,Empty,Empty,1865-09-28,PARKER HOUSE,Empty,DOLLARS,$,COMPLETE,4,422
12517,NO NAME,NATIONAL VERBANDES DEUTSCH AMERIKANISCHER JOURNALISTEN UND SCHRIFTSTELLER UNUSUAL,FEST-BANKETT,RESTAURANT,DER LIEDERKRANZ HALLE,BOOKLET; ILLUS; COL; 6 X 7.5,---------,MENU IS IN GERMAN; FOOD SELECTIONS REPRESENT VARIOUS REGIONS OF JOURNALISM IN EUROPE AND AMERICA; WINES ARE IN RED IN THE MARGIN NEXT TO APPROPRIATE COURSE; SCHEDULE OF MUSIC AND SPEAKERS IS LISTED; COVER HAS LIGHT BROWN SKETCH OF A JOURNALIST'S DESK WITH,1892-0112,Empty,Empty,1892-05-19,NATIONAL VERBANDES DEUTSCH AMERIKANISCHER JOURNALISTEN UND SCHRIFTSTELLER UNUSUAL,Empty,UNKNOWN,&&&,COMPLETE,2,21
12518,NO NAME,COLUMBIA RESTAURANT,DAILY MENU,COMMERCIAL,"48 EAST 14TH STREET, NEW YORK,NY",FOLDER;ILLUS;7.25X11.5;,DAILY,2 COPIES;WINE LIST;,1901-1527,Empty,Empty,1901-06-03,COLUMBIA RESTAURANT,Empty,DOLLARS,$,COMPLETE,4,475
12519,NO NAME,MRS CLUFF,LUNCH,OTHER PRIVATE PARTY,"RED ROOM,BOHEMIAN CLUB",FOLDER;ILLUS;COL;3.5X7.25;,---------,MOTHER HOLDING CHILD ON LAP TEASING WITH RATTLE;WINES;,1901-1533,Empty,Empty,1901-06-04,MRS CLUFF,Empty,UNKNOWN,&&&,COMPLETE,4,15
12520,NO NAME,BAILY CATERING CO.THE,LUNCHEON,COMMERCIAL,"MIRROR LAKE PERGOLA,PAN-AMERICAN EXPOSITION",BOOKLET;ILLUS;COL;4.25X3.5;,OTHER COMPLIMENTARY,DELICATELY CUT OUT FLOWERS ON SHORTENED FRONT COVER; RIBBON AT LEFT;,1901-1534,Empty,Empty,1901-06-05,BAILY CATERING CO.THE,Empty,UNKNOWN,&&&,COMPLETE,7,18
12522,NO NAME,NORTHERN STEAMSHIP CO.,BREAKFAST,COMMERCIAL,GREAT NORTHERN RY. LINE,BOOKLET;ILLUS;COL;3X3.75;,DAILY,INDIVIDUAL CLUB BREAKFAST;HANDWRITTEN DATE 1901;PRICES SEEM HIGH FOR THIS DATE;,1901-1536,Empty,Empty,1901-01-01,NORTHERN STEAMSHIP CO.,Empty,UNKNOWN,&&&,COMPLETE,4,12
12523,NO NAME,CITIZENS'STEAMBOAT COMPANY,LUNCH,COMMERCIAL,"STEAMER SARATOGA,TROY LINE",BOOKLET;ILLUS;COL;6.25X9;,DAILY,AU SABLE CHASM ON FRONT COVER;BLUE MOUNTAIN LAKE ON BACK COVER;PRICED WINE LIST;,1901-1537,Empty,Empty,1901-01-01,CITIZENS'STEAMBOAT COMPANY,Empty,DOLLARS,$,COMPLETE,8,246
12524,NO NAME,NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA,DINNER,COMMERCIAL,"COUNTRY CLUB,GROSSE POINTE,MI",FOLDER;ILLUS;COL;4X7.5;,---------,WINES;BUILDING ILLUSTRATED;,1901-1538,Empty,Empty,1901-06-05,NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA,Empty,UNKNOWN,&&&,COMPLETE,4,18
12525,NO NAME,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,"SCHNELLDAMPFER ""COLUMBIA""",FOLDER; ILLUS; COL; 4.5X7;,OTHER DAILY,GERMAN & ENGLISH; SKETCH OF STEAMSHIP & ROWBOAT ON COVER; MUSICAL PROGRAM ON BACK COVER;,1900-2136,Empty,Empty,1900-02-25,HAMBURG AMERIKA LINIE,Empty,UNKNOWN,&&&,COMPLETE,4,28
12526,NO NAME,UNION HOTEL & RESTAURANT,DINNER,COMMERCIAL,NO PLACE,BROADSIDE; ILLUS; 5.5X10;,OTHER DAILY,"A LA CARTE, PRICED MENU; EAGLE & FLAG AT TOP OF MENU;",1900-2139,Empty,Empty,1900-02-26,UNION HOTEL & RESTAURANT,Empty,DOLLARS,$,COMPLETE,2,71
12527,NO NAME,CUNARD LINE,DINNER,COMMERCIAL,RMS CAMPANIA,CARD; ILLUS; COL; 4.5X6.5;,OTHER DAILY,"PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;",1900-2140,Empty,Empty,1900-02-26,CUNARD LINE,Empty,UNKNOWN,&&&,COMPLETE,2,93
12528,NO NAME,CUNARD LINE,LUNCHEON,COMMERCIAL,RMS CAMPANIA,CARD; ILLUS; COL; 4.5X6.5;,OTHER DAILY,"PRICED WINE, TOBACCO LIST ON BACK; CUNARD STEAMSHIP CO. FLAG AT TOP;",1900-2142,Empty,Empty,1900-02-26,CUNARD LINE,Empty,DOLLARS,$,COMPLETE,2,87
12529,NO NAME,NEW YORK MEDICAL CLUB,DINNER,PROF,"MANHATTAN HOTEL, NEW YORK, NY",FOLDER; ILLUS; COL; 3X4.5;,---------,LISTS WINES SERVED WITH INDIVIDUAL COURSES; DECORATIVE WREATH ON COVER;,1900-2144,Empty,Empty,1900-02-26,NEW YORK MEDICAL CLUB,Empty,UNKNOWN,&&&,COMPLETE,4,17
12530,NO NAME,RED STAR LINE,BREAKFAST,COMMERCIAL,SS WESTERNLAND,CARD; ILLUS; COL; 5X8;,OTHER DAILY,VIOLET SCRIPT PRINTED MENU; MARITIME SCENE ON MENU;,1900-2148,Empty,Empty,1900-02-26,RED STAR LINE,Empty,UNKNOWN,&&&,COMPLETE,2,16
12531,NO NAME,RED STAR LINE,BREAKFAST,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER DAILY,FRENCH & ENGLISH; VIOLET SCRIPT PRINTING; MARITIME SCENE AT TOP OF MENU;,1900-2150,Empty,Empty,1900-02-26,RED STAR LINE,Empty,UNKNOWN,&&&,COMPLETE,2,18
12532,NO NAME,RED STAR LINE,LUNCH,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER DAILY,VIOLET SCRIPT PRINTING; DECORATIVE WREATH;,1900-2151,Empty,Empty,1900-02-26,RED STAR LINE,Empty,UNKNOWN,&&&,COMPLETE,2,18
12533,NO NAME,RED STAR LINE,DINNER,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER DAILY,"VIOLET SCRIPT PRINTING; MARITIME SCENE AT TOP; PRICED WINE, TOBACCO LIST ON BACK OF MENU;",1900-2152,Empty,Empty,1900-02-26,RED STAR LINE,Empty,BELGIAN FRANCS,BEF,COMPLETE,2,55
12534,NO NAME,PABST BLUE RIBBON,DINNER,COMMERCIAL,PABST BLUE RIBBON,CARD; ILLUS; COL; 5.25X7.75;,---------,LOGO OF PABST BLUE RIBBON;,1900-2381,Empty,Empty,1900-03-11,PABST BLUE RIBBON,Empty,DOLLARS,$,COMPLETE,2,52
12535,NO NAME,MAXWELL HOUSE,DINNER,COMMERCIAL,"MAXWELL HOUSE, NASHVILLE, TN",BROADSIDE; ILLUS; 5.75X7.5;,---------,"ILLUS, PICTURE OF HOTEL;",1900-2386,Empty,Empty,1900-03-11,MAXWELL HOUSE,Empty,UNKNOWN,&&&,COMPLETE,2,30
12536,NO NAME,MAXWELL HOUSE,LUNCHEON,COMMERCIAL,"MAXWELL HOUSE, NASHVILLE, TN",BROADSIDE; 4.25X6.0;,---------,None,1900-2388,Empty,Empty,1900-03-11,MAXWELL HOUSE,Empty,UNKNOWN,&&&,COMPLETE,2,23
12537,NO NAME,CUNARD LINE,BREAKFAST,COMMERCIAL,"R.M.S. ""ETRURIA""",CARD; ILLUS; COL; 4.5X6.5;,---------,RED FLAG WITH LION HOLDING GLOBE OF WORLD; PRICED WINE LIST;,1900-2389,Empty,Empty,1900-03-11,CUNARD LINE,Empty,UNKNOWN,&&&,COMPLETE,2,90
